Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Month_num,Date
1999,Qtr 4,December,10,Unknown,Lockheed,Lockheed C 130H63,kuwait city kuwait,Force Air U.S. - Military,0,3,94,12,1999-12-10
1999,Qtr 4,December,11,Portugal,British,British Aerospace APTCS TGM,sao jorge azores,(Portugal)SATA,0,35,35,12,1999-12-11
1999,Qtr 4,December,21,Unknown,McDonnell Douglas,McDonnell Douglas DC 10,guatemala city guatemala,Aviacon de Cubana,2,16,314,12,1999-12-21
1999,Qtr 4,December,22,Unknown,Boeing,Boeing 747 2B5FHL,great hallingbury united,Air KingdomKorean,0,4,4,12,1999-12-22
1999,Qtr 4,December,24,India,Airbus,Airbus A300B2 101VT,amritsar india,Afghanistan         Kandahar / Indian Airlines,0,1,189,12,1999-12-24
1999,Qtr 4,December,25,Unknown,De Havilland,de Havilland Canada DHC 6 Twin Otter9N,near simara nepal,Airways Skyline,0,10,10,12,1999-12-25
1999,Qtr 4,December,25,Unknown,Yakovlev,Yakovlev YAK 42DCU,bejuma venezuela,Aviacion de Cubana,0,22,22,12,1999-12-25
1999,Qtr 4,December,29,Unknown,Antonov,Antonov 283C JJI,near zonguldak turkey,Aviacion de Guineana Ecuato,0,6,6,12,1999-12-29
2000,Qtr 1,January,5,Unknown,Embraer,Embraer 110P1A Bandeirante5N AXL,abuja nigeria,Airways Express Skypower,1,1,16,1,2000-01-05
2000,Qtr 1,January,10,Unknown,Saab,Saab 340BHB AKK,niederhasli switzerland,Crossair,0,10,10,1,2000-01-10
2000,Qtr 1,January,13,Unknown,Short Brothers,Shorts 360 300HB,off marsa el-brega libya,Avisto,0,22,41,1,2000-01-13
2000,Qtr 1,January,15,Unknown,LET,Let 410UVP EYS,san jose costa,RicaTACA,0,5,20,1,2000-01-15
2000,Qtr 1,January,30,Unknown,Airbus,AirbusA310  3045Y,off abidjan ivory,Airways CoastKenya,0,169,179,1,2000-01-30
2000,Qtr 1,January,31,United States,McDonnell Douglas,McDonnell Douglas MD 83N963AS,off point mugu california,Airlines Alaska,0,88,88,1,2000-01-31
2000,Qtr 1,February,2,Unknown,Lockheed,Lockheed C 130 Hercules,tehran iran,Force Air Iran of Republic Islamic - Military,0,8,8,2,2000-02-02
2000,Qtr 1,February,16,United States,McDonnell Douglas,McDonnell Douglas DC 8,sacramento california,Worldwide Emery,0,3,3,2,2000-02-16
2000,Qtr 1,March,5,United States,Boeing,Boeing B 737,burbank calilfornia,Airlines Southwest,0,0,142,3,2000-03-05
2000,Qtr 1,March,9,Unknown,Yakovlev,Yakovlev YAK 40RA,moscow russia,Airlines Vologodskiye,0,9,9,3,2000-03-09
2000,Qtr 1,March,17,Unknown,Douglas,Douglas C 47A,ennadai lake canada,Services Air North Points,0,2,2,3,2000-03-17
2000,Qtr 1,March,17,Unknown,De Havilland,de Havilland Canada DHC 6 Twin Otter 300HP,near kuna yala panama,Aeroperlas,0,10,10,3,2000-03-17
2000,Qtr 1,March,22,Spain,Casa,CASA 212 DE Aviocar 200TM,herreira spain,Aire del Ejército - Military,0,7,7,3,2000-03-22
2000,Qtr 1,March,24,Unknown,Antonov,Antonov AN 12 (freighter)RA,kadirana sri,Cabs LankaSky,2,6,8,3,2000-03-24
2000,Qtr 1,March,25,Unknown,Antonov,Antonov AN 32D2,huambo angola,Uralex,0,3,33,3,2000-03-25
2000,Qtr 1,March,30,Unknown,Antonov,Antonov An 26UR,near anuradhapura sri,Force Air Lankan Sri - LankaMilitary,0,40,40,3,2000-03-30
2000,Qtr 2,April,5,United States,Lear jet,Learjet 35AN86BE,marianna florida,Bankair,0,3,3,4,2000-04-05
2000,Qtr 2,April,19,Unknown,Antonov,Antonov AN 8TL,pepa  -,Airlines Centrafricain,0,24,24,4,2000-04-19
2000,Qtr 2,April,19,Unknown,Boeing,Boeing B 737,samal island philippines,Philippines Air,0,131,131,4,2000-04-19
2000,Qtr 2,April,29,Unknown,Britten,Britten  Norman BN,bapi papua,Aviation Coast GuineaNorth New,0,4,4,4,2000-04-29
2000,Qtr 2,May,2,Unknown,Lear jet,Learjet 35AG MURI,lyon satolas france,Aviation Executive Northern,0,2,5,5,2000-05-02
2000,Qtr 2,May,3,Unknown,Britten,Britten  Norman BN,kurupung guyana,Airways Guyana Trans,0,1,1,5,2000-05-03
2000,Qtr 2,May,10,United States,Rockwell,Rockwell Sabreliner 65N241H,kaunakakai hawaii,Company Aircraft Price,0,6,6,5,2000-05-10
2000,Qtr 2,May,17,Unknown,Beechcraft,Beechcraft 1900C 1TR,moanda gabon,Avirex,0,3,10,5,2000-05-17
